"Subbasin","<20","20-40","40-60","60-80",">80"
2886,57,42,23,16,14
2888,47,49,25,23,8
2891,56,48,29,13,6
2892,60,43,26,13,10
2893,45,29,33,31,14
2894,40,37,38,14,23
2895,40,28,34,15,35
2896,60,51,22,12,7
2898,30,26,31,23,42
2899,70,57,15,8,2
2900,44,35,17,23,33
2901,30,29,29,22,42
2902,133,15,3,1,0
2903,108,31,6,5,2
2904,36,22,24,27,43
2906,71,51,25,4,1
2908,40,35,25,21,31
2909,140,12,0,0,0
2910,48,46,16,19,23
2911,40,35,20,24,33
2912,32,36,30,22,32
2913,31,30,33,21,37
2914,37,42,26,20,27
2916,35,29,22,19,47
2918,49,39,24,22,18
2921,57,60,22,8,5
2923,43,22,29,31,27
2924,54,49,27,9,13
2925,41,50,33,18,10
2926,27,29,31,23,42
2927,16,13,20,19,84
2928,14,41,24,25,48
2929,40,34,23,21,34
2930,33,27,24,25,43
2931,83,50,16,1,2
2933,57,43,27,17,8
2934,24,25,37,42,24
2937,142,10,0,0,0
2938,41,42,34,18,17
2939,49,36,27,16,24
2940,22,15,31,34,50
2941,96,47,6,2,1
2943,59,37,30,11,15
2944,44,31,26,13,38
2946,96,41,11,2,2
2948,35,36,21,25,35
2949,48,44,32,17,11
2950,79,49,20,2,2
2951,46,45,35,16,10
2952,59,50,28,10,5
2953,54,40,32,15,11
2954,91,46,10,1,4
2956,90,61,1,0,0
2958,103,39,6,2,2
2960,37,30,26,20,39
2961,58,23,34,23,14
2962,60,44,25,12,11
2963,46,34,24,18,30
2965,52,41,27,20,12
2968,41,41,31,25,14
2969,17,40,32,28,35
2970,30,24,23,14,61
2971,34,44,29,19,26
2972,98,37,14,2,1
2973,22,23,28,23,56
2975,26,27,30,24,45
2976,103,40,7,2,0
2978,27,25,25,26,49
2979,39,35,28,22,28
2980,30,26,23,23,50
2981,30,28,30,23,41
2982,44,35,21,16,36
2985,40,25,28,21,38
2986,41,54,38,11,8
2987,31,37,28,21,35
2988,29,29,25,24,45
2989,46,25,31,16,34
2990,28,32,35,18,39
2994,47,40,25,20,20
2996,58,59,23,3,9
2997,37,29,19,32,35
2998,59,59,23,8,3
3001,112,27,10,3,0
3003,47,43,28,22,12
3004,35,39,28,22,28
3006,73,47,19,6,7
3007,85,49,12,4,2
3009,30,41,24,25,32
3010,55,32,26,16,23
3013,56,42,28,16,10
3014,152,0,0,0,0
3015,26,28,30,23,45
3016,84,40,14,5,9
3019,25,38,28,18,43
3020,61,47,27,12,5
3021,104,46,2,0,0
3022,48,40,37,14,13
3023,143,7,1,1,0
3026,151,1,0,0,0
3028,56,42,29,12,13
3029,32,36,24,23,37
3030,33,31,26,24,38
3031,124,22,6,0,0
3032,50,40,33,13,16
3034,29,32,30,18,43
3035,32,29,38,16,37
3036,32,37,27,25,31
3037,34,27,19,17,55
3038,15,21,17,7,92
3039,10,21,14,12,95
3040,15,19,10,15,93
3041,43,44,33,23,9
3042,31,34,32,13,42
3043,36,32,35,21,28
3044,60,58,22,8,4
3045,51,38,37,13,13
3046,59,59,23,4,7
3047,46,56,27,17,6
3048,48,42,32,25,5
3049,55,51,36,8,2
3052,37,32,33,19,31
3053,47,46,26,23,10
3054,40,33,26,19,34
3056,31,47,20,25,29
3057,48,51,36,11,6
3058,28,38,23,14,49
3059,28,39,33,25,27
3060,152,0,0,0,0
3061,29,30,31,23,39
3062,75,45,22,5,5
3065,48,41,31,22,10
3066,13,15,15,16,93
3067,109,35,6,1,1
3068,85,52,7,5,3
3070,34,27,33,19,39
3071,71,63,13,5,0
3073,137,15,0,0,0
3074,50,39,30,22,11
3075,55,46,24,16,11
3076,152,0,0,0,0
3081,80,41,18,9,4
3082,52,44,30,10,16
3083,28,37,23,20,44
3084,136,12,4,0,0
3085,135,16,1,0,0
3086,32,21,26,16,57
3087,11,18,18,13,92
3088,43,44,36,19,10
3089,63,41,21,17,10
3091,36,28,23,17,48
3092,41,29,27,18,37
3094,47,37,28,16,24
3096,78,71,2,1,0
3097,47,74,24,6,1
3098,40,26,21,21,44
3099,34,22,37,25,34
3101,30,33,32,17,40
3102,35,40,38,22,17
3103,14,10,18,15,95
3105,121,28,3,0,0
3106,48,47,28,16,13
3107,129,21,2,0,0
3109,51,52,26,15,8
3110,18,20,30,25,59
3111,38,27,30,15,42
3112,8,11,11,16,106
3113,141,9,2,0,0
3114,109,35,5,2,1
3115,54,50,33,9,6
3116,58,45,22,19,8
3117,65,54,30,1,2
3118,141,9,1,1,0
3119,46,40,30,26,10
3120,54,38,30,20,10
3121,54,32,33,18,15
3125,58,36,33,16,9
3129,34,33,33,24,28
3130,50,44,30,18,10
3131,142,8,2,0,0
3132,27,27,25,15,58
3135,12,19,11,10,100
3136,40,54,26,16,16
3137,32,40,15,26,39
